,p_val,lfc_mean,comparison,group1,group2
BOP1,0.0,-2.76402115,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
PSMA2,0.0003999999999999,-3.7520975,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CNBD2,0.0006,-2.90462925,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
S1PR2,0.001,-2.906996,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
MLLT1,0.0018,-2.5398525,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
SLC5A3,0.0018,-2.932918,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CCL4L2,0.0036,-4.2268445,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
NAA60,0.0036,-2.31744265,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
ZNF26,0.0048,-2.1598449,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
MAP1LC3B2,0.0053999999999999,-2.4647608,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CLN3,0.0056,-2.98025725,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
IKZF3,0.0058,-1.9523335,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
PHKG1,0.007,-2.42111635,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
SNRPN,0.007,-1.9984381,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
FCRL1,0.0076,-2.31681085,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
GPR89B,0.0076,-2.19977975,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
LRRC32,0.008,-2.22786615,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
PROB1,0.0088,-1.9505713,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
SCGB1A1,0.0091999999999999,-2.9693825,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
TAS2R4,0.0091999999999999,-2.007922,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
KCNC4,0.01,-2.0154915,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
GMPPB,0.011,-2.0619165,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CD4,0.0111999999999999,-2.22581365,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
KRT19,0.0111999999999999,-1.9637259,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
ALPL,0.0118,-2.11624815,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CCL4,0.0121999999999999,-2.1702975,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
AREG,0.0123999999999999,-2.9210632,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
NEK5,0.0125999999999999,-1.9284998,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CD101,0.013,-2.71466065,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
ADAMTSL4,0.0131999999999999,-2.32180165,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
DAB2IP,0.0135999999999999,-2.34844635,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
RAPGEF5,0.014,-2.005295,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
TLCD2,0.0143999999999999,-1.9427197,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CD200,0.0148,-2.004511,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
GOLGA6L9,0.0148,-2.1279032,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
KIR2DL4,0.0151999999999999,-2.26822375,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
FABP4,0.0158,-2.31095575,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
HGH1,0.0158,-2.0082375,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
VCAM1,0.0178,-2.07527875,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
ADAMTS17,0.018,-2.11274815,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
SSTR2,0.019,-1.96810915,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
ADIRF,0.0191999999999999,-1.903949,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
COLEC12,0.0193999999999999,-2.5455155,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CSF3,0.02,-1.9936505,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CCL3,0.0208,-2.197789,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
LINC00623,0.0211999999999999,-2.41912415,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
PLEKHG1,0.0218,-2.105088,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
SLC22A31,0.0228,-2.1296122,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CCL20,0.0235999999999999,-2.071835,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
FCN3,0.024,-2.14468265,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
MAPK11,0.0242,-1.96474375,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
PDCD1,0.0245999999999999,-2.11278485,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
PPARG,0.0245999999999999,-2.17645025,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
NR4A1,0.026,-1.95851265,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
EIF4EBP3,0.0268,-1.98449455,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
IFNG,0.0272,-1.94155835,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
MSMB,0.0273999999999999,-1.96967185,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
LIF,0.0285999999999999,-2.1386855,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
LAG3,0.0285999999999999,-1.9229406,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
TFF3,0.0288,-1.9135463,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
ZBTB32,0.0295999999999999,-1.9855144,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
CH25H,0.0298,-1.93597815,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
GCSAM,0.0302,-1.9912733,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
SCGB3A1,0.0302,-2.1193465,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
NR5A2,0.0308,-2.143848,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
SFTPA2,0.0328,-2.2648795,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
SFTPA1,0.0358,-2.16216325,pb_CD56bright vs tr_CD56bright,pb_CD56bright,tr_CD56bright
