,p_val,lfc_mean,comparison,group1,group2
LAG3,0.01140456182472993,3.429098,Adaptive vs Rest,Adaptive,Rest
TPRG1,0.014805922368947622,3.223274,Adaptive vs Rest,Adaptive,Rest
CD3G,0.021608643457383003,3.2557805,Adaptive vs Rest,Adaptive,Rest
CD3D,0.02200880352140855,2.8584,Adaptive vs Rest,Adaptive,Rest
LINC00944,0.024609843937575038,2.4433143,Adaptive vs Rest,Adaptive,Rest
MT1E,0.025210084033613467,2.5400834,Adaptive vs Rest,Adaptive,Rest
PTMS,0.027611044417767072,2.0949793,Adaptive vs Rest,Adaptive,Rest
NSG1,0.027611044417767072,2.1801746,Adaptive vs Rest,Adaptive,Rest
GDPD5,0.03221288515406162,1.9429904,Adaptive vs Rest,Adaptive,Rest
LILRB1,0.03461384553821534,2.173475,Adaptive vs Rest,Adaptive,Rest
ZNF683,0.03461384553821534,1.7962058,Adaptive vs Rest,Adaptive,Rest
MCOLN2,0.037214885954381716,1.8035908,Adaptive vs Rest,Adaptive,Rest
KLRC2,0.039015606242497,1.730746,Adaptive vs Rest,Adaptive,Rest
HBA2,0.03941576630652266,1.9326701,Adaptive vs Rest,Adaptive,Rest
JAKMIP1,0.04001600640256098,1.6203659,Adaptive vs Rest,Adaptive,Rest
CDKN2A,0.04001600640256098,1.7987171,Adaptive vs Rest,Adaptive,Rest
B3GAT1,0.041816726690676265,2.0496426,Adaptive vs Rest,Adaptive,Rest
RAB11FIP5,0.042617046818727466,1.7063745,Adaptive vs Rest,Adaptive,Rest
CADM1,0.04361744697879155,1.8269724,Adaptive vs Rest,Adaptive,Rest
HBA1,0.044617847138855526,1.805651,Adaptive vs Rest,Adaptive,Rest
CD3E,0.04681872749099636,1.572491,Adaptive vs Rest,Adaptive,Rest
CD52,0.04801920768307322,1.5066476,Adaptive vs Rest,Adaptive,Rest
MIAT,0.04801920768307322,1.8538712,Adaptive vs Rest,Adaptive,Rest
MT1F,0.048419367747098874,1.392345,Adaptive vs Rest,Adaptive,Rest
GSC,0.04961984793917562,1.5933071,Adaptive vs Rest,Adaptive,Rest
