,p_val,lfc_mean,comparison,group1,group2
GPR183,0.009003601440576214,6.285398,CD56bright vs Rest,CD56bright,Rest
LSR,0.012404961984793905,4.5500937,CD56bright vs Rest,CD56bright,Rest
SCML1,0.01340536214485799,4.5577207,CD56bright vs Rest,CD56bright,Rest
COTL1,0.014805922368947622,3.879388,CD56bright vs Rest,CD56bright,Rest
TNFRSF11A,0.01540616246498594,4.5678854,CD56bright vs Rest,CD56bright,Rest
IL7R,0.016606642657062798,4.3428907,CD56bright vs Rest,CD56bright,Rest
SELL,0.017607042817126883,3.4740772,CD56bright vs Rest,CD56bright,Rest
MYC,0.01880752300920363,4.1500235,CD56bright vs Rest,CD56bright,Rest
ANO9,0.019207683073229287,3.7253182,CD56bright vs Rest,CD56bright,Rest
TOX2,0.02000800320128049,4.383712,CD56bright vs Rest,CD56bright,Rest
LEF1,0.02200880352140855,3.1148262,CD56bright vs Rest,CD56bright,Rest
S100A13,0.02280912364945975,2.6687405,CD56bright vs Rest,CD56bright,Rest
GAB1,0.025610244097639012,2.933383,CD56bright vs Rest,CD56bright,Rest
ID3,0.02601040416166467,4.5148683,CD56bright vs Rest,CD56bright,Rest
RUNX2,0.02621048419367744,3.6585102,CD56bright vs Rest,CD56bright,Rest
DLL1,0.026610644257703098,3.962849,CD56bright vs Rest,CD56bright,Rest
GNA15,0.027210884353741527,3.7796278,CD56bright vs Rest,CD56bright,Rest
GZMK,0.027811124449779956,4.635734,CD56bright vs Rest,CD56bright,Rest
PPP1R9A,0.029011604641856703,2.4981825,CD56bright vs Rest,CD56bright,Rest
TSPAN4,0.029211684673869587,3.1267219,CD56bright vs Rest,CD56bright,Rest
WNT11,0.029211684673869587,3.7044983,CD56bright vs Rest,CD56bright,Rest
HVCN1,0.03081232492997199,2.7438998,CD56bright vs Rest,CD56bright,Rest
YBX3,0.03261304521808728,3.2776875,CD56bright vs Rest,CD56bright,Rest
MAML3,0.03301320528211282,3.1240966,CD56bright vs Rest,CD56bright,Rest
XCL1,0.033213285314125596,3.621864,CD56bright vs Rest,CD56bright,Rest
TIAM1,0.03701480592236894,2.731915,CD56bright vs Rest,CD56bright,Rest
SPRY1,0.043217286914765896,3.0067346,CD56bright vs Rest,CD56bright,Rest
TMEM14C,0.0440176070428171,2.1036067,CD56bright vs Rest,CD56bright,Rest
TTLL10,0.04541816726690673,2.618513,CD56bright vs Rest,CD56bright,Rest
HAPLN3,0.04561824729891961,2.9495122,CD56bright vs Rest,CD56bright,Rest
MMP25,0.047218887555022016,2.4840047,CD56bright vs Rest,CD56bright,Rest
B3GALNT1,0.047218887555022016,2.7522516,CD56bright vs Rest,CD56bright,Rest
CLNK,0.049219687875150075,2.540661,CD56bright vs Rest,CD56bright,Rest
FXYD7,0.04941976790716285,2.8110745,CD56bright vs Rest,CD56bright,Rest
