,p_val,lfc_mean,comparison,group1,group2
PTGDS,0.031212484993997647,2.4036758,CD57+ vs Rest,CD57+,Rest
ZNF683,0.03301320528211282,1.93766,CD57+ vs Rest,CD57+,Rest
S100B,0.039215686274509776,1.4937865,CD57+ vs Rest,CD57+,Rest
B3GAT1,0.04081632653061229,2.1979692,CD57+ vs Rest,CD57+,Rest
COL13A1,0.04081632653061229,1.8461539,CD57+ vs Rest,CD57+,Rest
HBA1,0.04361744697879155,1.5930859,CD57+ vs Rest,CD57+,Rest
HBA2,0.04361744697879155,1.4869615,CD57+ vs Rest,CD57+,Rest
IFI27,0.046618647458983586,1.3252943,CD57+ vs Rest,CD57+,Rest
NSG1,0.04741896758703479,1.1485823,CD57+ vs Rest,CD57+,Rest
SORBS2,0.04821928771508599,1.4136593,CD57+ vs Rest,CD57+,Rest
PALLD,0.04961984793917562,1.6887579,CD57+ vs Rest,CD57+,Rest
