,p_val,lfc_mean,comparison,group1,group2
PTGDS,0.02941176470588236,1.9585695,KIR+ vs Rest,KIR+,Rest
PCSK5,0.039215686274509776,1.8463434,KIR+ vs Rest,KIR+,Rest
SORBS2,0.039215686274509776,1.5607915,KIR+ vs Rest,KIR+,Rest
PDGFRB,0.03941576630652266,1.6379219,KIR+ vs Rest,KIR+,Rest
B3GAT1,0.04001600640256098,1.2591028,KIR+ vs Rest,KIR+,Rest
COL13A1,0.04421768707482998,1.0165076,KIR+ vs Rest,KIR+,Rest
PCDH1,0.04601840736294516,1.5785737,KIR+ vs Rest,KIR+,Rest
LGR6,0.04621848739495793,1.8811342,KIR+ vs Rest,KIR+,Rest
NUAK1,0.046618647458983586,1.0643895,KIR+ vs Rest,KIR+,Rest
GNAL,0.047819127651060445,1.5318292,KIR+ vs Rest,KIR+,Rest
DAB2,0.049219687875150075,1.5454047,KIR+ vs Rest,KIR+,Rest
