,p_val,lfc_mean,comparison,group1,group2
GPR183,0.016406562625050025,2.1510997,NKG2A+ vs Rest,NKG2A+,Rest
GZMK,0.019807923169267716,2.241302,NKG2A+ vs Rest,NKG2A+,Rest
MYC,0.024609843937575038,1.7149199,NKG2A+ vs Rest,NKG2A+,Rest
SCML1,0.025610244097639012,1.1689938,NKG2A+ vs Rest,NKG2A+,Rest
ID3,0.027811124449779956,1.9320335,NKG2A+ vs Rest,NKG2A+,Rest
TNFRSF11A,0.0282112845138055,1.5531603,NKG2A+ vs Rest,NKG2A+,Rest
XCL1,0.03001200480192079,1.5373559,NKG2A+ vs Rest,NKG2A+,Rest
ANO9,0.03081232492997199,1.3135897,NKG2A+ vs Rest,NKG2A+,Rest
IL7R,0.03281312525010005,1.2158722,NKG2A+ vs Rest,NKG2A+,Rest
RUNX2,0.036414565826330514,1.4067564,NKG2A+ vs Rest,NKG2A+,Rest
LSR,0.037214885954381716,1.0812525,NKG2A+ vs Rest,NKG2A+,Rest
LDB2,0.044417767106842754,1.5218979,NKG2A+ vs Rest,NKG2A+,Rest
SPRY1,0.04561824729891961,1.0180645,NKG2A+ vs Rest,NKG2A+,Rest
ANK3,0.04601840736294516,1.4278271,NKG2A+ vs Rest,NKG2A+,Rest
PDGFA,0.047819127651060445,1.200781,NKG2A+ vs Rest,NKG2A+,Rest
HOXA10,0.04801920768307322,1.0112121,NKG2A+ vs Rest,NKG2A+,Rest
