,p_val,lfc_mean,comparison,group1,group2
BOP1,0.0,-3.072363,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
MLLT1,0.0,-2.79313875,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
ZNF26,0.0,-2.3058375,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
CNBD2,0.0003999999999999,-3.15787075,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
PSMA2,0.0003999999999999,-3.4815605,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
CLN3,0.0011999999999999,-2.8690903,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
MAP1LC3B2,0.0013999999999999,-2.739333,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
SLC5A3,0.0021999999999999,-2.9390855,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
GPR89B,0.0021999999999999,-2.151487,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
THTPA,0.0028,-2.6392795,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
S1PR2,0.003,-2.4175923,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
GMPPB,0.0036,-2.08686925,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
NAA60,0.004,-2.0106585,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
NEK5,0.0043999999999999,-2.32111835,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
CCL4L2,0.0046,-3.3302903,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
TAS2R4,0.0048,-2.009121,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
PHKG1,0.0058,-2.4281675,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
PROB1,0.0061999999999999,-1.9860959,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
TLCD2,0.0063999999999999,-2.4841597,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
HGH1,0.0076,-2.0555285,pb_CD56dim vs tr_CD56dim,pb_CD56dim,tr_CD56dim
