,GeneID,logFC_1,adj.P.Val_1,logFC_2,adj.P.Val_2,logFC_3,adj.P.Val_3,logFC_4,adj.P.Val_4,logFC_5,adj.P.Val_5,logFC_6,adj.P.Val_6
1,A2M,0.02427989039072747,0.6538324602484084,0.007867192835015288,0.8587029402427796,-0.021132615777906136,0.7292089069356542,-0.00523512528950288,0.9447867303058327,0.01382601187115838,0.9997746453217699,-0.004598745392884539,0.999816362823631
2,A4GALT,-0.0013948058748281095,0.730383065001443,-0.0013652159790237357,0.6766552023081975,0.004257728830130415,0.03257042254529857,0.0005654893200565518,0.9160080404783458,-0.0009343932427552641,0.9997746453217699,-0.002369341621975436,0.9144298663806095
3,AAAS,-0.006096755574512818,0.779438799252925,0.02147658197111076,0.13037787916282972,-0.005535203313605384,0.8417409814025774,0.01126235209184845,0.6952536100209585,-0.005329902512844133,0.9997746453217699,-0.010163687008374023,0.999816362823631
4,AACS,-0.010618163164639467,0.6383515984337547,0.014307085797102019,0.3876912265231514,0.0107827075447267,0.613808174376795,-0.01717460464046992,0.35792045222102176,0.008658567632728053,0.9997746453217699,-0.005423448176540623,0.999816362823631
5,AAGAB,-0.028223976911546295,0.5083739384731386,0.03525227366477403,0.2531677572200292,0.007123053104604676,0.8969307103678236,-0.01632305229213203,0.8003710959697781,0.0018004919071631723,0.9997746453217699,0.0010107964595313865,0.999816362823631
6,AAK1,-0.13466937828697736,0.21801781987771518,-0.02027496885488439,0.8555802632921793,0.049630416226084884,0.7631359863933929,0.09770854423285208,0.41899966911662556,-0.049232115890460504,0.9997746453217699,-0.02424196163813458,0.999816362823631
7,AAMDC,-0.005684202122010757,0.765283099973079,0.015925560739677616,0.22241751061861675,-0.007211530906669743,0.7623029335445498,0.006894627990463961,0.8030862170632073,-0.004654887050625096,0.9997746453217699,-0.0015613707335074174,0.999816362823631
8,AAMP,-0.03579984341113864,0.34859971453099403,-0.010353507649204771,0.7712069490632495,-0.012496827421260522,0.8164711313984517,-0.014019460634720149,0.8223236644847942,0.010596631291521698,0.9997746453217699,0.03835999191483261,0.35970056549839896
9,AAR2,0.016774862222074832,0.7191348488353099,0.046313365182749144,0.10275497163677313,0.002849758263695157,0.9606969689875842,-0.015596763576901568,0.8130148079084009,-0.010691273515922153,0.9997746453217699,-0.009060801134567968,0.999816362823631
10,AARD,-0.002438684684064,0.7100527740717686,-0.000269508509104755,0.9630407661664747,-0.0024222669512748325,0.7526339750686246,0.003059144204804605,0.7215188487779175,-0.0022498733545831496,0.9997746453217699,0.0029529524983375787,0.999816362823631
11,AARS2,0.019911825440259837,0.14123677364578763,0.0035470093897115966,0.8051611674725517,-0.005295975669953757,0.8031630563493591,0.0032660733769326426,0.8873046980709244,-0.0019812596669062117,0.9997746453217699,-0.007352247421476027,0.999816362823631
12,AARSD1,-0.02643694886468933,0.5125367488507308,0.011018679212088114,0.753478796265886,0.0005618648506736865,0.9936225935003961,0.0023838779665264,0.9689964278264888,0.01065172090657595,0.9997746453217699,-0.008973079198902854,0.999816362823631
13,AASDH,0.0006119500083790197,0.9873411236857965,0.005476972177933151,0.8740092360195708,-0.013544042272343383,0.7897882227240614,0.001562280058096964,0.981669223065627,0.011100475430378287,0.9997746453217699,-0.003941304103877601,0.999816362823631
14,AASDHPPT,-0.01656054440395069,0.660255145867163,0.016306704224095577,0.593082361405734,0.025345810600044906,0.31701243561557507,-0.016330386756596673,0.7419078787827812,0.0022358548013831116,0.9997746453217699,-0.012104657130589176,0.999816362823631
15,AASS,0.00039353774996609987,0.947633844717223,0.0003243601905047453,0.9535067317620494,0.003039252659962788,0.613808174376795,0.0009930343878707603,0.9046856151969034,-0.001356803211367466,0.9997746453217699,-0.002955259771244956,0.999816362823631
16,AATF,-0.032249394544576565,0.5404825254685766,0.012112833911460064,0.786248778546979,-0.012708435000762394,0.8500323930035462,-0.004008534206968728,0.9611516099381027,0.02281354413667583,0.9997746453217699,-0.00035077669430787217,0.999816362823631
17,AATK,0.007388304628293679,0.7347017401481609,0.017123657517575663,0.2403371472413315,0.001762980344802623,0.9494408502176418,-0.00516204510247136,0.8633509497257247,-0.0021696997118920043,0.9997746453217699,-0.007236287673400571,0.999816362823631
18,ABAT,-0.012023263002195285,0.5684130811789008,0.015644555791497317,0.3043331828874399,-0.00020946262412110256,0.9950669477842127,-0.00709927248181421,0.8187160019525292,0.006563263936765179,0.9997746453217699,-0.0029788293891110686,0.999816362823631
19,ABCA1,0.0014219874894597978,0.893046177896616,-0.006335069002070819,0.4510049559690041,0.008501926864227695,0.21929984844484768,-0.00029806129763642816,0.9864203997625307,-9.853487274939614e-05,0.9997746453217699,-0.005045360841984044,0.999816362823631
20,ABCA2,-0.030400288171779553,0.30497120356970264,-0.018084943276209943,0.5117676204348928,0.033352962992066304,0.07353327819867803,0.01174346442186969,0.8130148079084009,-0.007250134193329434,0.9997746453217699,-0.013043255433125001,0.999816362823631
21,ABCA3,-0.0031160112351683485,0.6942703666829937,-0.0004140327899780934,0.9516211787485686,-0.0029206241679153363,0.7506890276640847,-0.00015589407493344666,0.9897280643673962,0.0019319816276493,0.9997746453217699,0.0026301696090560555,0.999816362823631
22,ABCA5,0.006804972865014688,0.809932627088326,0.008556735189066838,0.7267894823441347,0.0190348241835897,0.38295981430682974,0.003021487711473543,0.9431776768009749,-0.0095954685729897,0.9997746453217699,-0.019696340957907302,0.7621253079294702
23,ABCA6,0.015586149625565027,0.02725440032045262,-0.0031453753722613005,0.7084100139861391,-0.0022405099357075153,0.8531674921563052,-0.0019142655811382769,0.8873046980709244,-0.0006453203936998943,0.9997746453217699,-0.00046448555136057975,0.999816362823631
24,ABCA7,0.012048821746131892,0.5323109516937686,0.002025770828527172,0.9059735933479612,0.0035336577811367047,0.8842636114419438,-0.01034361627278606,0.6842741942465499,0.003687288458555555,0.9997746453217699,-0.003407653252558729,0.999816362823631
25,ABCA8,-0.00022880673506739797,0.8871527382589994,-0.0001949384890050287,0.8901187617944443,-0.0002082013204359366,0.9216325663632167,2.5332347744712184e-05,0.9918204755639468,-0.00021564278247826913,0.9997746453217699,0.0006402180071099271,0.999816362823631
26,ABCB1,-0.03932478472258444,0.5087784922868652,-0.03809166324121095,0.42196100678743065,0.050558465902847086,0.19108004350683017,-0.007633608877264719,0.9283680737991253,-0.0004608531419000167,0.9997746453217699,-0.001338608625751525,0.999816362823631
27,ABCB10,0.0021986431975271788,0.9357659472373224,0.014139675549849823,0.5463919140917131,-0.00474248167603869,0.8923545598813231,0.004088861172117646,0.9166717287175989,-0.0031769596279502717,0.9997746453217699,-0.005324100349784092,0.999816362823631
