,GeneID,logFC_6,adj.P.Val_6,logFC_1,adj.P.Val_1,logFC_2,adj.P.Val_2,logFC_3,adj.P.Val_3,logFC_4,adj.P.Val_4,logFC_5,adj.P.Val_5
1,A1BG,-0.01246975644403942,0.7419504756878843,-0.010704667788967484,0.7969478129085991,0.023279562606972663,0.08384885213577312,-0.00273770021743229,0.9626482640632867,-0.004566636665563489,1.0,-0.006616355828521395,1.0
2,A2M,-0.004836764097154834,0.8459701778462548,-0.0027447808943526237,0.9324244398718027,0.0025347190203831456,0.8988480898679091,-0.0019962342621424947,0.9329258236773667,0.0015514198767317298,1.0,0.0009481706699189867,1.0
3,A2ML1,-4.3242624549155845e-05,1.0,-6.820080302836531e-05,0.9845987118413144,-0.00015493368489200913,0.8988480898679091,0.0006300662074005662,0.1667962560817809,-0.00015877908547124407,1.0,-8.824628499633135e-05,1.0
4,A4GALT,-0.001745634990576009,0.8330757483474238,-0.001104698407030957,0.9113410648602625,0.006230151310656743,0.001406168762974071,-0.0010593476657778799,0.8648333924507867,-0.0012979718785088648,1.0,-0.003166855741753922,0.907901757369213
5,A4GNT,-0.007856959957702463,0.8488411175104723,-0.0063902184007439055,0.8851108494467929,-0.003322860697981874,0.9062660829951231,-0.0069537701619075114,0.8158684580293212,-0.002241343243394492,1.0,0.018678753038882813,0.6944680469019321
6,AAAS,0.0701612802624399,0.062439608820858125,-0.03455852082472983,0.5161923181362371,-0.00782120610435421,0.9001988670312433,0.012398502661440339,0.8544768332175058,-0.008453499372481486,1.0,-0.007357671340038889,1.0
7,AACS,-0.014738284973091296,0.7627609193408181,-0.023203687441382945,0.4596607068085142,0.0009935731659768895,0.9799181529398588,0.024187652769302515,0.3320466414015742,-0.0011220563650564987,1.0,0.0012278479714825374,1.0
8,AADAC,-6.361805827103733e-05,1.0,-7.125924420970587e-05,0.9806434573124222,-0.00010764741546741716,0.8988480898679091,-7.833973284191567e-05,0.9507890801944276,0.00037069402928139775,1.0,-0.00014834864169722405,1.0
9,AADAT,0.0012879160079044727,0.027451759061072202,-0.00011848140158910017,0.9646647612913027,-0.00018343799919500581,0.8988480898679091,-0.00013030423653272616,0.921635139790869,-0.00013918612009498416,1.0,-0.00011249803620664008,1.0
10,AAGAB,-0.024150470768139115,0.7150862619381267,0.016085958254102438,0.8524276959005384,0.008713612414772434,0.8988480898679091,0.010951893659620154,0.8631222124735465,-0.009549359363069464,1.0,-0.004743964417572001,1.0
11,AAK1,-0.11263053603181972,0.4036481674334988,-0.05601344951030729,0.7974746475856844,-0.012585736109528678,0.9358114365421427,0.04888375721686605,0.7790282363943439,-0.012888599736040118,1.0,0.07505810033833316,1.0
